Dependencia,Codigo,CodObjeto,Naturaleza,Objeto,Periodo,Cantidad,Objeto-Desc - Tipo_Expte
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$CE,11,,REAJUSTES VARIOS,201610,50,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$CE,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201610,3,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$IN,11,,REAJUSTES VARIOS,201610,1,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,11,,REAJUSTES VARIOS,201610,1287,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201610,361,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,3,,PENSIONES,201610,35,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,37,,ACCION MERAMENTE DECLARATIVA,201610,4,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,38,,COBRO DE PESOS,201610,6,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,39,,INFORMACION SUMARIA,201610,1,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,40,,INCONSTITUCIONALIDADES VARIAS,201610,4,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,A,,JUBILACION Y RETIRO POR INVALIDEZ,201610,2,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,C,,PRESTACIONES VARIAS,201610,5,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,98,10,,PROCESO DE CONOCIMIENTO,201610,1,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,98,18B,,REPETICION,201610,1,
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,1,,AMPARO POR MORA DE LA ADMINISTRACION,201610,1,
