Dependencia,Codigo,CodObjeto,Naturaleza,Objeto,Periodo,Cantidad,Objeto-Desc - Tipo_Expte
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201508,69,17-PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ADO,8,,IMPUGNACION DE DEUDA,201508,1,8-IMPUGNACION DE DEUDA
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,1,,AMPARO POR MORA DE LA ADMINISTRACION,201508,2,1-AMPARO POR MORA DE LA ADMINISTRACION
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,11,,REAJUSTES VARIOS,201508,252,11-REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,12,,OTROS - PREVISIONALES,201508,3,12-OTROS - PREVISIONALES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,13,,AMPAROS Y SUMARISIMOS,201508,52,13-AMPAROS Y SUMARISIMOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,14,,MEDIDAS CAUTELARES,201508,1,14-MEDIDAS CAUTELARES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,15,,EJECUCION PREVISIONAL,201508,15,15-EJECUCION PREVISIONAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,16,,EJECUCION FISCAL,201508,1,16-EJECUCION FISCAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,16A,,EJECUCION FISCAL MINISTERIO DE TRABAJO,201508,1,16A-EJECUCION FISCAL MINISTERIO DE TRABAJO
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201508,50,17-PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,19A,,EJECUCION LEY 23660,201508,2,19A-EJECUCION LEY 23660
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,22,,LEY 24557,201508,11,22-LEY 24557
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,3,,PENSIONES,201508,6,3-PENSIONES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,33,,MEDIDA CAUTELAR SEC. 2,201508,1,33-MEDIDA CAUTELAR SEC. 2
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,35A,,RECURSO DE QUEJA POR RECURSO ADMINISTRATIVO DENEGADO (1),201508,3,35A-RECURSO DE QUEJA POR RECURSO ADMINISTRATIVO DENEGADO (1)
